date,ticker,dollar_volume,atr,bb_high,bb_low,bb_mid,garman_klass_vol,macd,rsi,return_1m,return_2m,return_3m,return_6m,return_9m,return_12m,mkt-rf,smb,hml,rmw,cma,cluster
2023-02,BBGI,0.026833105330216257,-0.3786423230831127,0.4347456506664926,5.310203052613433,116.53260227040984,0.000686026570818852,-0.6151541527413614,48.70399692983191,-0.07017537402020413,-0.09960703135748972,-0.07708764018014902,-0.04023443335438481,-0.021343676218350538,-0.01602288053459211,0.42863979066007174,-0.29883153593867584,0.3128329173763804,0.15287642225181236,0.28562668493875276,0
2023-02,BBH,1.1773196766903526,-0.38436365129846684,0.8955294603431039,5.478837951207447,121.66886126727489,-2.7731404557926668e-05,-0.4366329811993645,50.60930094596832,-0.0682604046846983,3.0503636845393025,1.582794672811652,0.5265216646479736,0.31644831110104477,0.19950584407723926,5.050338982470657,40.47671368015911,-40.66022036225732,-6.794891263268411,-6.7242559833516395,0
2023-02,BBY,161.1342442383214,-0.42061138516850977,0.7249152927549104,5.48347852721849,121.78305888271912,-0.0030663287200685526,-0.3920922600972889,49.46870114321132,-0.06323277462497812,-0.3049140925776135,-0.22988966732916805,-0.13392065921278917,-0.08168314442538482,-0.06102612219128667,0.7222339812238683,-1.041151384119276,1.4799255925258095,0.8041343295178095,0.24993469764553833,0
2023-02,BME,0.9278541454315186,-0.4703693622705776,0.5527415285913069,5.507465847386387,120.8578891423335,-0.00678970612924179,-0.40163856401768006,48.9029892198781,-0.031214280117508708,2.573499680024377,1.4413968521941043,0.4850615879552589,0.14800838628828727,-0.06655809401797841,-4.669834369286576,14.955261973626676,-14.484592447151442,-31.957091975897413,-67.04019271461118,0
2023-02,BMY,541.1424912476188,-0.5231403088998999,0.6623034167091608,5.576555255700514,120.32428630065843,-0.003698105520917644,-0.37179658209972444,49.31155311402068,-0.050791626886661057,0.2906808130688432,0.16814525811158254,0.07172203223665274,0.05624576680437432,0.03875798203542513,1.0791491258806065,1.6380388060447828,-1.7004745511001502,-0.04280163752816257,0.10979000011690943,0
2023-02,BOWL,18.998558162448983,-0.559355938356762,0.34593777526846664,5.538618156444079,123.04670188357163,0.000782692613174537,-0.4055905386046679,48.545379917415175,0.11854538910023638,-0.48042257854936166,-0.363526222306212,-0.1777229616139031,-0.10154610733216263,-0.09239109579753191,0.16731648879053893,-0.9634691094110783,1.1559773543027347,0.10796109519788599,1.9841800656820823,0
2023-02,BPT,2.7016403791628387,-0.6171487176205614,0.2754715285092277,5.544059559436706,126.943515702049,0.0005192485397974727,-0.43358192816755553,48.46621303747785,-0.15918365789919486,0.014382089992578173,-0.05769161638933906,-0.010878151396130575,-0.01982580735185624,-0.014531202920519348,1.8815934346852092,1.510802168584839,-0.9369269141151508,0.22057931981847734,1.2794230388327101,0
2023-02,CCL,418.2974052885959,-0.6731169049924509,0.28998351196749317,5.550752981875597,129.50995916449514,0.0009106393012289323,-0.4501664945302449,48.472107124403806,-0.01848427124825236,3.4347114532127074,1.1695203570892923,0.37376116644018564,0.18245350829975093,0.1410526057868018,8.276576551669875,43.37449335041458,-41.09219894343593,-5.153892632150189,-13.490304513509102,0
2023-02,CWK,37.68451609560816,-0.7240575220643793,0.2825119157090993,5.349648765027976,109.43300992517794,0.0005302619514487698,-0.455070893398004,48.517043983330126,-0.10325715130151747,-0.27940190202105997,-0.20164515432026453,-0.039696777264987215,-0.016861351328276042,-0.016813460665627833,2.655689672673814,-1.3252843278669262,1.6213813208518981,-0.3112157871528254,-1.0345590372113995,0
2023-02,DLN,11.136508801972239,-0.7482751353818153,0.6693243083113303,5.344585612818358,109.32919282706638,-0.0007713448947483955,-0.39483463118835527,49.43966521657347,-0.03177494834301453,0.8749189028119302,0.5340174759314655,0.30009363700492164,0.1659731055098408,0.14370502983932898,-2.2044334533909726,3.963400519519034,0.33412350347670383,-8.18168254927329,-19.558302757454896,0
2023-02,DOCS,88.54222342455012,-0.7807031355333032,0.5342846295957046,5.267710786409591,108.24444792902592,0.000504959505989709,-0.37561851943424807,48.93073859996649,-0.046498422692462404,-0.3424912264634815,-0.25677248275720777,-0.12913624114386835,-0.07928539029822634,-0.057306344115290786,0.7188908556508425,-1.4155500792625193,1.5545201931744979,0.4161492215690632,0.6394369151718182,0
2023-02,EOT,0.3989106017765246,-0.817267534013156,0.33388618665414865,5.2358979764485625,103.50732835654794,-0.002427357223518177,-0.37827850974323624,48.57428481853697,0.0018315852207642092,-0.44560483493114755,-0.323489868813161,-0.1258596271352328,-0.05662749689713997,-0.044203007996098664,1.782848658213212,-0.1833913508474465,-0.8728465648586168,0.13665557857607835,6.173976786683062,0
2023-02,ESNT,19.13393907595183,-0.8464092857504891,0.5766509592747942,5.262102917913599,102.95892886535324,-0.00038520258165596196,-0.34409652736706153,49.1410329572298,-0.024528557077243218,0.5865901622277263,0.33567138248309614,0.15729761800054165,0.11121725077106426,0.08170605977513556,0.9232340699385735,3.624056203306967,-3.6425033625719045,-1.3620713637929986,-0.8451990755311556,0
2023-02,ESP,0.2539049156791286,-0.8745092744455016,0.36799436606745084,5.246101689109947,104.57512415803627,-0.0017393064014328535,-0.3427147895316166,48.623599572813774,0.22707419460270817,-0.41739254903385614,-0.31614470268181205,-0.1876289148233724,-0.11669407456811498,-0.08377688087711577,0.667459810367248,-1.5642054052754624,2.7071437910816254,1.5617432475337114,-0.23344532532050977,0
2023-02,EWI,13.385714850014134,-0.9070299301058449,0.5123274002888255,4.78312023203266,87.67382479019844,-0.0026674180471731174,-0.3257914389579379,48.85445929973418,-0.008589382205287155,-0.03929347254495641,-0.02378721896622471,0.03401138442426288,0.03489758683820687,0.011171460175002146,-0.20758045676627324,0.26542403432070927,-1.8425111481550693,-1.298420093529116,5.130856557341527,0
